genbank_accession	isolate	isolation_source	broad_category	completeness	contamination	contigs	total_length	gc	n50	sample_description	fermented_food	specific_substrate	substrate_category	category
GCA_900459545.1	Streptococcus gallolyticus subsp. macedonicus	Food, Cheese, Kasseri###Greek Kasseri cheese prepared from ewes' milk###Greek Kasseri cheese	#Dairy product	78.48	19.24	6	2312921	37.67	2139386	Food, Cheese, Kasseri###Greek Kasseri cheese prepared from ewes' milk###Greek Kasseri cheese	cheese	milk	dairy	fermented_dairy
GCA_024137205.1	Tetragenococcus halophilus subsp. halophilus	Soy sauce brewing mashes###soy sauce brewing mash	#Food	94.5	5.9	112	2259739	35.67	41908	Soy sauce brewing mashes###soy sauce brewing mash	soy sauce	soybean	legume	fermented_soybean
GCA_000423785.1	Tetragenococcus muriaticus	Squid liver sauce, Japanese local traditional fermented seafood###japanese local traditional fermented seafood	#Fermented	97.46	1.13	109	2081554	35.94	30220	Squid liver sauce, Japanese local traditional fermented seafood###japanese local traditional fermented seafood	ishiru	squid	seafood	fermented_seafood
GCA_000763315.1	Thermoactinomyces daqus	high-temperature daqu, a fermentation starter used in the production of a sesame-flavour liquor	#Beverage	83.02	9.72	86	3441572	48.83	116061	high-temperature daqu, a fermentation starter used in the production of a sesame-flavour liquor	daqu	grains	grains	fermented_beverages
GCA_001870205.1	Vagococcus teuberi	spontaneously fermented sour-milk (fènè)	#Dairy product	96.89	0.94	2	2184285	34.1	2169060	spontaneously fermented sour-milk (fènè)	yogurt	milk	dairy	fermented_dairy
GCA_000709085.1	Virgibacillus alimentarius	Jeotgal, traditional salt-fermented seafood made of gizzard shad	#Fermented	91.27	1.61	146	3045860	37.11	36623	Jeotgal, traditional salt-fermented seafood made of gizzard shad	jeotgal	shad	seafood	fermented_seafood
GCA_005405525.1	Weissella cibaria	Food###From chili bo###Chilli Bo###chili bo	#Food	98.77	0	25	2323953	45.14	243943	Food###From chili bo###Chilli Bo###chili bo	chili bo	pepper	fruit	pickled_fruits_vegetables_roots
GCA_016466705.1	Weissella confusa	Food, Sour carrot mash###soured carrot mash	#Herbaceous plants (Grass,Crops)	98.73	0.58	31	2206814	44.73	161796	Food, Sour carrot mash###soured carrot mash	pickle	carrot	root/tuber	pickled_fruits_vegetables_roots
GCA_000420365.1	Weissella halotolerans	Food, Sausage###Sausage meat###sausage	#Meat	98.01	0	6	1358385	43.06	412519	Food, Sausage###Sausage meat###sausage	salami	meat	meat	fermented_meat
GCA_005405545.1	Weissella hellenica	Fermented sausage###Dry naturally fermented Greek sausage###sausage; naturally-fermented	#Meat	97.69	0.26	28	1814617	36.97	91647	Fermented sausage###Dry naturally fermented Greek sausage###sausage; naturally-fermented	salami	meat	meat	fermented_meat
GCA_000277645.1	Weissella koreensis	Food, Kimuchi, Fermented vegetable food###Traditional Korean fermented-vegetable food (Kimchi)###Traditional Korean fermented-vegetable food###kimchi, fermented vegetable food	#Fermented	98.05	15.14	17	1728940	35.5	236957	Food, Kimuchi, Fermented vegetable food###Traditional Korean fermented-vegetable food (Kimchi)###Traditional Korean fermented-vegetable food###kimchi, fermented vegetable food	kimchi	cabbage	pickle	pickled_fruits_vegetables_roots
GCA_003363255.1	Weissella thailandensis	From fermented fish###fermented fish	#Fermented	97.4	1.58	40	1973650	38.68	112113	From fermented fish###fermented fish	pla-ra	fish	seafood	fermented_seafood
GCA_001437355.1	Weissella viridescens	Food, Cured meat product###cured meat products	#Meat	95.35	1.21	7	1536954	41.09	476919	Food, Cured meat product###cured meat products	salami	meat	meat	fermented_meat
GCA_000277755.1	Zymomonas mobilis subsp. pomaceae	Fermenting palm sap (<I>Elaeis</I> sp.)###fermenting palm sap	#Plant sap (Flux)	94.96	1.27	4	2008345	46.12	1961306	Fermenting palm sap (<I>Elaeis</I> sp.)###fermenting palm sap	wine	palm sap	other plant based	fermented_beverages
GCA_000245735.2	Alishewanella jeotgali	From Flatfish Sik Hae###Gajami sikhae (jeotgal), a traditional Korean fermented seafood###gajami sikhae (jeotgal), a traditional fermented Korean food	#Fermented	98.18	0.3	65	3831357	50.67	127457	From Flatfish Sik Hae###Gajami sikhae (jeotgal), a traditional Korean fermented seafood###gajami sikhae (jeotgal), a traditional fermented Korean food	jeotgal	flatfish	seafood	fermented_seafood
GCA_009377195.2	Arthrobacter bussei	Sliced cheese	#Dairy product	99.21	0.07	15	3620993	69.17	550094	Sliced cheese	cheese	milk	dairy	fermented_dairy
GCA_000225825.2	Brachybacterium squillarum	Salt-fermented food made of tiny shrimp###food product	#Food	91.57	11.64	8	3191479	72.77	809179	Salt-fermented food made of tiny shrimp###food product	saeu-jeot	shrimp	seafood	fermented_seafood
GCA_000179395.2	Corynebacterium variabile	Food, Cheese###Surface of a smear-ripened cheese###Cheese,Irish smear-ripened cheese (Gubbeen)###cheese	#Dairy product	99.21	3.04	1	3433007	67.15	3433007	Food, Cheese###Surface of a smear-ripened cheese###Cheese,Irish smear-ripened cheese (Gubbeen)###cheese	cheese	milk	dairy	fermented_dairy
GCA_000226215.2	Dietzia alimentaria	traditional salt-fermented seafood made of clam jeotgal	#Fermented	99.16	0	39	3352817	67.34	216003	traditional salt-fermented seafood made of clam jeotgal	jeotgal	clam	seafood	fermented_seafood
GCA_000498955.2	Lactiplantibacillus fabifermentans	cocoa bean heap fermentation	#Fruit (Seed)	99.02	1.09	170	3275891	45.04	33724	cocoa bean heap fermentation	chocolate	cocoa	fruit	chocolate
GCA_000785105.2	Lentilactobacillus curieae	Stinky tofu brine###food product	#Food	99.35	0	1	2095860	39.78	2095860	Stinky tofu brine###food product	stinky tofu	soybean	legume	fermented_soybean
GCA_000224785.2	Lentibacillus jeotgali	From Garibi-jeotgal, traditional Korean fermented seafood made from scallops###Jeotgal, traditional Korean fermented seafood###traditional Korean fermented seafood made from scallops, ""Garibi-jeotgal""	#Fermented	98.53	1.61	31	3775822	42.5	312432	From Garibi-jeotgal, traditional Korean fermented seafood made from scallops###Jeotgal, traditional Korean fermented seafood###traditional Korean fermented seafood made from scallops, """"Garibi-jeotgal""""	jeotgal	seafood	seafood	fermented_seafood
GCA_000166735.2	Leuconostoc inhae	Food, Kimchi, fermented vegetale food in Korea###From Kimchi(fermented vegetable food in Korea)###Kimchi###kimchi (fermented vegetable food in Korea)	#Fermented	69.57	1.1	463	2167341	36.42	11864	Food, Kimchi, fermented vegetale food in Korea###From Kimchi(fermented vegetable food in Korea)###Kimchi###kimchi (fermented vegetable food in Korea)	kimchi	cabbage	pickle	pickled_fruits_vegetables_roots
GCA_000255495.2	Liquorilactobacillus vini	Grape must ferment at high temperature###Fermenting grape musts###grape must, fermenting at high temperature	#Beverage	95.45	0.31	177	2182354	37.63	24554	Grape must ferment at high temperature###Fermenting grape musts###grape must, fermenting at high temperature	wine	grape	fruit	fermented_beverages
GCA_000709935.2	Metabacillus indicus	Food, Jeotgal, a traditional Korean fermented seafood###From Jeotgal, a traditional Korean fermented seafood###jeotgal, a traditional Korean fermented seafood	#Fermented	99.03	0	22	4071380	44.36	369209	Food, Jeotgal, a traditional Korean fermented seafood###From Jeotgal, a traditional Korean fermented seafood###jeotgal, a traditional Korean fermented seafood	jeotgal	seafood	seafood	fermented_seafood
GCA_004102045.2	Oenococcus sicerae	Fermented apple juices (ciders)###Apple juice in fermentation (cider)	#Fruit (Seed)	89.66	2.52	1	1664394	40.32	1664394	Fermented apple juices (ciders)###Apple juice in fermentation (cider)	cider	apple	fruit	fermented_beverages
GCA_000299295.2	Salimicrobium jeotgali	Jeotgal, Korean salted and fermented seafood (anchovy jeotgal)###fermented anchovy (myeolchi-jeot)	#Fermented	95.78	0	44	2712396	46.27	179350	Jeotgal, Korean salted and fermented seafood (anchovy jeotgal)###fermented anchovy (myeolchi-jeot)	jeotgal	anchovy	seafood	fermented_seafood
GCA_002218025.2	Vibrio casei	Food, Surfaces of two French red smear soft cheeses###surface of a French smear ripened cheese (TF11)	#Dairy product	93.65	1.74	5	4140771	40.72	2756634	Food, Surfaces of two French red smear soft cheeses###surface of a French smear ripened cheese (TF11)	cheese	milk	dairy	fermented_dairy
